,,,,"Mie
12
Ene","Jue
13
Ene","Vie
14
Ene","Sab
15
Ene","Lun
17
Ene","Mar
18
Ene","Mie
19
Ene","Jue
20
Ene","Vie
21
Ene","Sab
22
Ene","Lun
24
Ene","Mar
25
Ene","Mie
26
Ene"
0,1,DGP,Dirección y Gestión de Proyectos,,,,,,,T,,,,,,
1,1,MDA,Metodologías de Desarrollo Ágil,T,,,,,,,,,,,,
2,1,LP,Lógica y Programación,,,,,M,,,,,,,,
3,1,PGV,Programación Gráfica de Videojuegos,,,,,,,,,T,,,,
4,1,SSO,Seguridad en Sistemas Operativos,,,M,,,,,,,,,,
5,1,BDD,Bases de Datos Distribuidas,,,,,,,,,,,M,,
6,1,RI,Recuperación de  Información,,,,,,,T,,,,,,
7,1,IN,Inteligencia del Negocio,T,,,,,,,,,,,,
8,1,GRD,Gestión de Recursos Digitales,,,,,M,,,,,,,,
9,1,RSC,Redes y Sistemas Complejos,,,,,,,,,T,,,,
10,1,SIG,Sistemas de Información Geográficos,,,M,,,,,,,,,,
11,1,SPSI,Seguridad y Protección de Sistemas Informáticos,,,,,,,,,,,M,,
12,1,DAI,Desarrollo de Aplicaciones para Internet,,,,,,,T,,,,,,
13,1,IV,Infraestructura Virtual,T,,,,,,,,,,,,
14,1,CRIM,Compresión y Recuperación de Información Multimedia,,,,,M,,,,,,,,
15,1,TID,Tratamiento de Imágenes Digitales,,,,,,,,,T,,,,
