,0,1
93,Ingenieria de Servidores,"Ingenieria de Servidores,ISE"
94,Modelos de Computacion,"Modelos de Computacion,MC"
95,Nuevos Paradigmas de Interaccion,"Nuevos Paradigmas de Interaccion,NPI"
96,Procesadores de Lenguajes,"Procesadores de Lenguajes,PL"
97,Vision por Computador,"Vision por Computador,VC"
98,Programacion Tecnica y Cientifica,"Programacion Tecnica y Cientifica,PTC"
99,Teoria de la Informacion y la Codificacion,"Teoria de la Informacion y la Codificacion,TIC"
100,Simulacion de Sistemas,"Simulacion de Sistemas,SS"
101,Centros de Procesamiento de Datos,"Centros de Procesamiento de Datos,CPD"
102,Sistemas Empotrados,"Sistemas Empotrados,SE"
103,Tecnologias de Red,"Tecnologias de Red,TR"
104,Informatica Industrial,"Informatica Industrial,II"
105,Tecnologias Emergentes,"Tecnologias Emergentes,TE"
106,Desarrollo Basado en Agentes,"Desarrollo Basado en Agentes,DBA"
107,Direccion y Gestion de Proyectos,"Direccion y Gestion de Proyectos,DGP"
108,Metodologias de Desarrollo Ágil,"Metodologias de Desarrollo Ágil,MDA"
109,Logica y Programacion,"Logica y Programacion,LP"
110,Programacion Grafica de Videojuegos,"Programacion Grafica de Videojuegos,PGV"
111,Seguridad en Sistemas Operativos,"Seguridad en Sistemas Operativos,SSO"
112,Bases de Datos Distribuidas,"Bases de Datos Distribuidas,BDD"
113,Recuperacion de  Informacion,"Recuperacion de  Informacion,RI"
114,Inteligencia del Negocio,"Inteligencia del Negocio,IN"
115,Gestion de Recursos Digitales,"Gestion de Recursos Digitales,GRD"
116,Redes y Sistemas Complejos,"Redes y Sistemas Complejos,RSC"
117,Sistemas de Informacion Geograficos,"Sistemas de Informacion Geograficos,SIG"
118,Seguridad y Proteccion de Sistemas Informaticos,"Seguridad y Proteccion de Sistemas Informaticos,SPSI"
119,Desarrollo de Aplicaciones para Internet,"Desarrollo de Aplicaciones para Internet,DAI"
120,Infraestructura Virtual,"Infraestructura Virtual,IV"
121,Compresion y Recuperacion de Informacion Multimedia,"Compresion y Recuperacion de Informacion Multimedia,CRIM"
122,Tratamiento de Imagenes Digitales,"Tratamiento de Imagenes Digitales,TID"
123,Estadistica,"Estadistica,ES"
124,"Ingenieria, Empresa y Sociedad","Ingenieria, Empresa y Sociedad,IES"
125,Logica y Metodos Discretos,"Logica y Metodos Discretos,LMD"
126,Metodologia de la Programacion,"Metodologia de la Programacion,MP"
127,Tecnologia y Organizacion de los Computadores,"Tecnologia y Organizacion de los Computadores,TOC"
128,Algoritmica,"Algoritmica,ALG"
129,Arquitectura de Computadores,"Arquitectura de Computadores,AC"
130,Fundamentos de Bases de Datos,"Fundamentos de Bases de Datos,FBD"
131,Fundamentos de Ingenieria del Software,"Fundamentos de Ingenieria del Software,FIS"
132,Inteligencia Artificial,"Inteligencia Artificial,IA"
133,Aprendizaje Automatico,"Aprendizaje Automatico,AA"
134,Ingenieria del Conocimiento,"Ingenieria del Conocimiento,IC"
135,Metaheuristicas,"Metaheuristicas,MH"
136,Modelos de Computacion Avanzada,"Modelos de Computacion Avanzada,MCA"
137,Tecnicas de los Sistemas Inteligentes,"Tecnicas de los Sistemas Inteligentes,TSI"
138,Arquitectura de Sistemas,"Arquitectura de Sistemas,AS"
139,Arquitectura y Computacion de Altas Prestaciones,"Arquitectura y Computacion de Altas Prestaciones,ACAP"
140,Desarrollo de Hardware Digital,"Desarrollo de Hardware Digital,DHD"
141,Diseno de Sistemas Electronicos,"Diseno de Sistemas Electronicos,DSE"
142,Sistemas con Microprocesadores,"Sistemas con Microprocesadores,SMP"
143,Desarrollo de Sistemas Distribuidos,"Desarrollo de Sistemas Distribuidos,DSD"
144,Desarrollo de Software,"Desarrollo de Software,DS"
145,Diseno de Interfaces de Usuario,"Diseno de Interfaces de Usuario,DIU"
146,Sistemas de Informacion Basados en Web,"Sistemas de Informacion Basados en Web,SIBW"
147,Sistemas Graficos,"Sistemas Graficos,SG"
148,Administracion de Bases de Datos,"Administracion de Bases de Datos,ABD"
