,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
71,GII,4,IS,1,MDA,Metodologias de Desarrollo Ágil,"Lunes, 13 de Febrero"
72,GII,4,IS,1,LP,Logica y Programacion,"Miercoles, 15 de Febrero"
73,GII,4,IS,1,PGV,Programacion Grafica de Videojuegos,"Martes, 14 de Febrero"
74,GII,4,IS,1,SSO,Seguridad en Sistemas Operativos,"Miercoles, 8 de Febrero"
75,GII,4,SI,1,BDD,Bases de Datos Distribuidas,"Jueves, 9 de Febrero"
76,GII,4,SI,1,RI,Recuperacion de  Informacion,"Viernes, 17 de Febrero"
77,GII,4,SI,1,IN,Inteligencia del Negocio,"Lunes, 13 de Febrero"
78,GII,4,SI,1,GRD,Gestion de Recursos Digitales,"Miercoles, 15 de Febrero"
79,GII,4,SI,1,RSC,Redes y Sistemas Complejos,"Martes, 14 de Febrero"
80,GII,4,SI,1,SIG,Sistemas de Informacion Geograficos,"Miercoles, 8 de Febrero"
81,GII,4,TI,1,SPSI,Seguridad y Proteccion de Sistemas Informaticos,"Jueves, 9 de Febrero"
82,GII,4,TI,1,DAI,Desarrollo de Aplicaciones para Internet,"Viernes, 17 de Febrero"
83,GII,4,TI,1,IV,Infraestructura Virtual,"Lunes, 13 de Febrero"
84,GII,4,TI,1,CRIM,Compresion y Recuperacion de Informacion Multimedia,"Miercoles, 15 de Febrero"
85,GII,4,TI,1,TID,Tratamiento de Imagenes Digitales,"Miercoles, 8 de Febrero"
86,GII,1,,2,ES,Estadistica,"Martes, 13 de Junio"
87,GII,1,,2,IES,"Ingenieria, Empresa y Sociedad","Miercoles, 21 de Junio"
88,GII,1,,2,LMD,Logica y Metodos Discretos,"Lunes, 19 de Junio"
89,GII,1,,2,MP,Metodologia de la Programacion,"Viernes, 23 de Junio"
90,GII,1,,2,TOC,Tecnologia y Organizacion de los Computadores,"Jueves, 15 de Junio"
91,GII,2,,2,ALG,Algoritmica,"Miercoles, 14 de Junio"
92,GII,2,,2,AC,Arquitectura de Computadores,"Viernes, 16 de Junio"
93,GII,2,,2,FBD,Fundamentos de Bases de Datos,"Viernes, 23 de Junio"
94,GII,2,,2,FIS,Fundamentos de Ingenieria del Software,"Lunes, 12 de Junio"
95,GII,2,,2,IA,Inteligencia Artificial,"Martes, 20 de Junio"
96,GII,3,CSI,2,AA,Aprendizaje Automatico,"Lunes, 19 de Junio"
97,GII,3,CSI,2,IC,Ingenieria del Conocimiento,"Miercoles, 21 de Junio"
98,GII,3,CSI,2,MH,Metaheuristicas,"Viernes, 23 de Junio"
99,GII,3,CSI,2,MCA,Modelos de Computacion Avanzada,"Lunes, 12 de Junio"
100,GII,3,CSI,2,TSI,Tecnicas de los Sistemas Inteligentes,"Jueves, 15 de Junio"
101,GII,3,IC,2,AS,Arquitectura de Sistemas,"Lunes, 19 de Junio"
102,GII,3,IC,2,ACAP,Arquitectura y Computacion de Altas Prestaciones,"Miercoles, 21 de Junio"
103,GII,3,IC,2,DHD,Desarrollo de Hardware Digital,"Viernes, 23 de Junio"
104,GII,3,IC,2,DSE,Diseno de Sistemas Electronicos,"Lunes, 12 de Junio"
105,GII,3,IC,2,SMP,Sistemas con Microprocesadores,"Jueves, 15 de Junio"
106,GII,3,IS,2,DSD,Desarrollo de Sistemas Distribuidos,"Lunes, 19 de Junio"
107,GII,3,IS,2,DS,Desarrollo de Software,"Miercoles, 21 de Junio"
108,GII,3,IS,2,DIU,Diseno de Interfaces de Usuario,"Viernes, 23 de Junio"
109,GII,3,IS,2,SIBW,Sistemas de Informacion Basados en Web,"Lunes, 12 de Junio"
110,GII,3,IS,2,SG,Sistemas Graficos,"Jueves, 15 de Junio"
111,GII,3,SI,2,ABD,Administracion de Bases de Datos,"Lunes, 19 de Junio"
112,GII,3,SI,2,ISI,Ingenieria de Sistemas de Informacion,"Miercoles, 21 de Junio"
113,GII,3,SI,2,PW,Programacion Web,"Viernes, 23 de Junio"
114,GII,3,SI,2,SIE,Sistemas de Informacion para Empresas,"Lunes, 12 de Junio"
115,GII,3,SI,2,SMD,Sistemas Multidimensionales,"Jueves, 15 de Junio"
116,GII,3,TI,2,CUIA,Computacion Ubicua e Inteligencia Ambiental,"Lunes, 19 de Junio"
117,GII,3,TI,2,SWAP,Servidores Web de Altas Prestaciones,"Miercoles, 21 de Junio"
118,GII,3,TI,2,SMM,Sistemas Multimedia,"Viernes, 23 de Junio"
119,GII,3,TI,2,TW,Tecnologias Web,"Lunes, 12 de Junio"
120,GII,3,TI,2,TDRC,Transmision de Datos y Redes de Computadores,"Jueves, 15 de Junio"
121,GII,4,COMP,2,CEGE,Creacion de Empresas y Gestion Emprendedora,"Viernes, 16 de Junio"
122,GII,4,COMP,2,DI,Derecho Informatico,"Martes, 13 de Junio"
