,,,,"Lun
7
Feb","Mar
8
Feb","Mie
9
Feb","Jue
10
Feb","Vie
11
Feb","Sab
12
Feb","Lun
14
Feb","Mar
15
Feb","Mie
16
Feb","Jue
17
Feb","Vie
18
Feb","Sab
19
Feb"
0,1,ALEM,Álgebra Lineal y Estructuras Matemáticas,,,,,,,T,,,,,
1,1,CA,Cálculo,,,,,T,,,,,,,
2,1,FFT,Fundamentos Físicos y Tecnológicos,,,,,,,,,,M,,
3,1,FP,Fundamentos de Programación,,,,M,,,,,,,,
4,1,FS,Fundamentos del Software,,M,,,,,,,,,,
5,1,EC,Estructura de computadores,,,,T,,,,,,,,
6,1,ED,Estructura de Datos,,,,,,,M,,,,,
7,1,PDOO,Programación y Diseño Orientado a Objetos,,,,,,,,,M,,,
8,1,SCD,Sistemas Concurrentes y Distribuidos,,,,,T,,,,,,,
9,1,SO,Sistemas Operativos,,,,,,,,,,,M,
10,1,DDSI,Diseño y Desarrollo de Sistemas de Información,,,,,,,,,,,T,
11,1,FR,Fundamentos de Redes,,,,,,,,,,T,,
12,1,IG,Informática Gráfica,,,,,M,,,,,,,
13,1,ISE,Ingeniería de Servidores,M,,,,,,,,,,,
14,1,MC,Modelos de Computación,,,,M,,,,,,,,
15,1,NPI,Nuevos Paradigmas de Interacción,,,,,,,,,,,T,
16,1,PL,Procesadores de Lenguajes,,,,,,,,,T,,,
17,1,VC,Visión por Computador,,,M,,,,,,,,,
18,1,PTC,Programación Técnica y Científica,,,,,M,,,,,,,
19,1,TIC,Teoría de la Información y la Codificación,,,,,,,T,,,,,
20,1,SS,Simulación de Sistemas,T,,,,,,,,,,,
21,1,CPD,Centros de Procesamiento de Datos,,,,,,,,,,,T,
22,1,SE,Sistemas Empotrados,,,,,,,,,T,,,
23,1,TR,Tecnologías de Red,,,M,,,,,,,,,
24,1,II,Informática Industrial,T,,,,,,,,,,,
25,1,TE,Tecnologías Emergentes,,,,,,,T,,,,,
