"Ingenieria Informatica y Administracion y Direccion de Empresas","Ingenieria Informatica y Administracion y Direccion de Empresas","GIIADE"
"Ingenieria de Tecnologias de Telecomunicacion","Ingenieria de Tecnologias de Telecomunicacion","GITT"
"Ingenieria Informatica","Ingenieria Informatica","GII"
"Ingenieria Informatica y Matematicas","Ingenieria Informatica y Matematicas","GIIM"
