,,,,"Mar
5
Jul","Mie
6
Jul","Jue
7
Jul","Vie
8
Jul","Sab
9
Jul","Lun
11
Jul","Mar
12
Jul","Mie
13
Jul","Jue
14
Jul","Vie
15
Jul"
0,2,CEGE,Creación de Empresas y Gestión Emprendedora,,T,,,,,,,,
1,2,DI,Derecho Informático,,,,,,,,T,,
2,2,EISI,"Ética, Informática y Sociedad de la Información",,,,,,T,,,,
3,2,CRIP,Criptografía y Computación,,T,,,,,,,,
4,2,PLD,Programación Lúdica,,,,,,,,T,,
5,2,RI,Robótica Industrial,,,,,,T,,,,
6,2,CII,Circuitos Integrados e Impresos,,T,,,,,,,,
7,2,CLP,Controladores Lógicos Programables,,,,,,,,T,,
8,2,MEI,Mantenimiento de Equipos Informáticos,,,,,,T,,,,
9,2,AO,Animación por Ordenador,,T,,,,,,,,
10,2,NTP,Nuevas Tecnologías de la Programación,,,,,,,,T,,
11,2,PPR,Programación Paralela,,,,,,T,,,,
12,2,PDIH,Periféricos y Dispositivos de Interfaz Humana,,T,,,,,,,,
13,2,SCGC,Sistemas Cooperativos y Gestión de Contenidos,,,,,,,,T,,
14,2,PDS,Procesamiento Digital de Señales,,T,,,,,,,,
15,2,PDM,Programación de Dispositivos Móviles,,,,,,,,T,,
16,2,RMS,Redes Multiservicio,,,,,,T,,,,
