,,,,"Lun
7
Feb","Mar
8
Feb","Mie
9
Feb","Jue
10
Feb","Vie
11
Feb","Sab
12
Feb","Lun
14
Feb","Mar
15
Feb","Mie
16
Feb","Jue
17
Feb","Vie
18
Feb","Sab
19
Feb"
0,1,DBA,Desarrollo Basado en Agentes,,,,,,,,,,,T,
1,1,DGP,Dirección y Gestión de Proyectos,,,,,,,,,T,,,
2,1,MDA,Metodologías de Desarrollo Ágil,,,M,,,,,,,,,
3,1,LP,Lógica y Programación,,,,,M,,,,,,,
4,1,PGV,Programación Gráfica de Videojuegos,,,,,,,T,,,,,
5,1,SSO,Seguridad en Sistemas Operativos,T,,,,,,,,,,,
6,1,BDD,Bases de Datos Distribuidas,,,,,,,,,,,T,
7,1,RI,Recuperación de  Información,,,,,,,,,T,,,
8,1,IN,Inteligencia del Negocio,,,M,,,,,,,,,
9,1,GRD,Gestión de Recursos Digitales,,,,,M,,,,,,,
10,1,RSC,Redes y Sistemas Complejos,,,,,,,T,,,,,
11,1,SIG,Sistemas de Información Geográficos,T,,,,,,,,,,,
12,1,SPSI,Seguridad y Protección de Sistemas Informáticos,,,,,,,,,,,T,
13,1,DAI,Desarrollo de Aplicaciones para Internet,,,,,,,,,T,,,
14,1,IV,Infraestructura Virtual,,,M,,,,,,,,,
15,1,CRIM,Compresión y Recuperación de Información Multimedia,T,,,,,,,,,,,
16,1,TID,Tratamiento de Imágenes Digitales,,,,,,,T,,,,,
