,Tit,Cur,Int,Cuat,Acr,Nombre,Fecha
49,Ingenieria de Tecnologias de Telecomunicacion,1,,1,FI,Fundamentos de Informatica,"Viernes, 20 de Enero"
50,Ingenieria de Tecnologias de Telecomunicacion,1,,1,IES,"Ingenieria, empresa y Sociedad","Martes, 17 de Enero"
51,Ingenieria de Tecnologias de Telecomunicacion,2,,1,FP,Fundamentos de Programacion,"Jueves, 19 de Enero"
52,Ingenieria de Tecnologias de Telecomunicacion,2,,1,ST,Sistemas Telematicos,"Jueves, 12 de Enero"
53,Ingenieria de Tecnologias de Telecomunicacion,2,,1,TC,Teoria de la Comunicacion,"Lunes, 23 de Enero"
54,Ingenieria de Tecnologias de Telecomunicacion,2,,1,TO,Transmision de ondas,"Lunes, 16 de Enero"
55,Ingenieria de Tecnologias de Telecomunicacion,3,,1,C2,Comunicaciones II,"Viernes, 13 de Enero"
56,Ingenieria de Tecnologias de Telecomunicacion,3,,1,EP,Electronica de Potencia,"Miercoles, 11 de Enero"
57,Ingenieria de Tecnologias de Telecomunicacion,3,,1,SC,Sistemas de conmutacion,"Martes, 17 de Enero"
58,Ingenieria de Tecnologias de Telecomunicacion,3,,1,SED,Sistemas Electronicos Digitales,"Martes, 24 de Enero"
59,Ingenieria de Tecnologias de Telecomunicacion,3,,1,TDRC,Transmision de datos y redes de computadores,"Viernes, 20 de Enero"
60,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,CIC,Circuitos Integrados para Comunicaciones,"Jueves, 19 de Enero"
61,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,EE,Equipos Electronicos,"Jueves, 12 de Enero"
62,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,SC,Sistemas de Control,"Lunes, 23 de Enero"
63,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,CO,Comunicaciones Ópticas,"Jueves, 19 de Enero"
64,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,CI,Comunicaciones Inalambricas,"Jueves, 12 de Enero"
65,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,TRD,Television y Radio Digital,"Lunes, 23 de Enero"
66,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,DDR,Diseno y Dimensionado de Redes,"Jueves, 19 de Enero"
67,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,RAC,Redes de Acceso y Corporativas,"Jueves, 12 de Enero"
68,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,RM,Redes Multimedia,"Lunes, 23 de Enero"
69,Ingenieria de Tecnologias de Telecomunicacion,4,,1,FF,Fundamentos de Fotonica,"Lunes, 16 de Enero"
70,Ingenieria de Tecnologias de Telecomunicacion,4,,1,LT,Laboratorio de Telematica,"Viernes, 20 de Enero"
71,Ingenieria de Tecnologias de Telecomunicacion,4,,1,TCI,Tecnologia de Circuitos Impresos,"Martes, 24 de Enero"
72,Ingenieria de Tecnologias de Telecomunicacion,4,,1,TH,Tecnologias del Habla,"Miercoles, 11 de Enero"
73,Ingenieria de Tecnologias de Telecomunicacion,1,,1,AL,Álgebra Lineal y geometria,"Viernes, 17 de Febrero"
74,Ingenieria de Tecnologias de Telecomunicacion,1,,1,AC,Analisis de Circuitos,"Miercoles, 8 de Febrero"
75,Ingenieria de Tecnologias de Telecomunicacion,1,,1,AM,Analisis Matematico,"Viernes, 10 de Febrero"
76,Ingenieria de Tecnologias de Telecomunicacion,1,,1,FI,Fundamentos de Informatica,"Miercoles, 15 de Febrero"
77,Ingenieria de Tecnologias de Telecomunicacion,1,,1,IES,"Ingenieria, empresa y Sociedad","Lunes, 13 de Febrero"
78,Ingenieria de Tecnologias de Telecomunicacion,2,,1,FP,Fundamentos de Programacion,"Lunes, 13 de Febrero"
79,Ingenieria de Tecnologias de Telecomunicacion,2,,1,ST,Sistemas Telematicos,"Martes, 7 de Febrero"
80,Ingenieria de Tecnologias de Telecomunicacion,2,,1,TC,Teoria de la Comunicacion,"Jueves, 16 de Febrero"
81,Ingenieria de Tecnologias de Telecomunicacion,2,,1,TO,Transmision de ondas,"Jueves, 9 de Febrero"
82,Ingenieria de Tecnologias de Telecomunicacion,3,,1,C2,Comunicaciones II,"Viernes, 10 de Febrero"
83,Ingenieria de Tecnologias de Telecomunicacion,3,,1,EP,Electronica de Potencia,"Miercoles, 8 de Febrero"
84,Ingenieria de Tecnologias de Telecomunicacion,3,,1,SC,Sistemas de conmutacion,"Lunes, 13 de Febrero"
85,Ingenieria de Tecnologias de Telecomunicacion,3,,1,SED,Sistemas Electronicos Digitales,"Viernes, 17 de Febrero"
86,Ingenieria de Tecnologias de Telecomunicacion,3,,1,TDRC,Transmision de datos y redes de computadores,"Miercoles, 15 de Febrero"
87,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,CIC,Circuitos Integrados para Comunicaciones,"Miercoles, 15 de Febrero"
88,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,EE,Equipos Electronicos,"Jueves, 9 de Febrero"
89,Ingenieria de Tecnologias de Telecomunicacion,4,SE,1,SC,Sistemas de Control,"Viernes, 17 de Febrero"
90,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,CO,Comunicaciones Ópticas,"Miercoles, 15 de Febrero"
91,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,CI,Comunicaciones Inalambricas,"Jueves, 9 de Febrero"
92,Ingenieria de Tecnologias de Telecomunicacion,4,ST,1,TRD,Television y Radio Digital,"Viernes, 17 de Febrero"
93,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,DDR,Diseno y Dimensionado de Redes,"Miercoles, 15 de Febrero"
94,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,RAC,Redes de Acceso y Corporativas,"Jueves, 9 de Febrero"
95,Ingenieria de Tecnologias de Telecomunicacion,4,T,1,RM,Redes Multimedia,"Viernes, 17 de Febrero"
96,Ingenieria de Tecnologias de Telecomunicacion,4,,1,FF,Fundamentos de Fotonica,"Viernes, 10 de Febrero"
97,Ingenieria de Tecnologias de Telecomunicacion,4,,1,LT,Laboratorio de Telematica,"Lunes, 13 de Febrero"
98,Ingenieria de Tecnologias de Telecomunicacion,4,,1,TCI,Tecnologia de Circuitos Impresos,"Jueves, 16 de Febrero"
