,,,,"Mie
12
Ene","Jue
13
Ene","Vie
14
Ene","Sab
15
Ene","Lun
17
Ene","Mar
18
Ene","Mie
19
Ene","Jue
20
Ene","Vie
21
Ene","Sab
22
Ene","Lun
24
Ene","Mar
25
Ene","Mie
26
Ene"
0,1,ALEM,Álgebra Lineal y Estructuras Matemáticas,,,,,,,,M,,,,,
1,1,CA,Cálculo,,,,,,,,,,,M,,
2,1,FP,Fundamentos de Programación,,,,,,,,,,,,,M
3,1,FS,Fundamentos del Software,,,,,,M,,,,,,,
4,1,FFT,Fundamentos Físicos y Tecnológicos,,,M,,,,,,,,,,
5,1,EC,Estructura de computadores,M,,,,,,,,,,,,
6,1,ED,Estructura de Datos,,,,,,,,,M,,,,
7,1,PDOO,Programación y Diseño Orientado a Objetos,,,,,M,,,,,,,,
8,1,SCD,Sistemas Concurrentes y Distribuidos,,,,,,,M,,,,,,
9,1,SO,Sistemas Operativos,,,,,,,,,,,,T,
10,1,DDSI,Diseño y Desarrollo de Sistemas de Información,,,,,,,,,,,,,T
11,1,FR,Fundamentos de Redes,,,,,,,,,,,T,,
12,1,IG,Informática Gráfica,,,T,,,,,,,,,,
13,1,ISE,Ingeniería de Servidores,,,,,,,,T,,,,,
14,1,MC,Modelos de Computación,,,,,T,,,,,,,,
15,1,NPI,Nuevos Paradigmas de Interacción,,,,,,,,,,,M,,
16,1,PL,Procesadores de Lenguajes,,,,,,,T,,,,,,
17,1,VC,Visión por Computador,T,,,,,,,,,,,,
18,1,PTC,Programación Técnica y Científica,,,,,M,,,,,,,,
19,1,TIC,Teoría de la Información y la Codificación,,,,,,,,,T,,,,
20,1,SS,Simulación de Sistemas,,,M,,,,,,,,,,
21,1,CPD,Centros de Procesamiento de Datos,,,,,,,,,,,M,,
22,1,SE,Sistemas Empotrados,,,,,,,T,,,,,,
23,1,TR,Tecnologías de Red,T,,,,,,,,,,,,
24,1,II,Informática Industrial,,,,,M,,,,,,,,
25,1,TE,Tecnologías Emergentes,,,,,,,,,T,,,,
26,1,DBA,Desarrollo Basado en Agentes,,,,,,,,,,,M,,
